"Molecule","Molecule name","Atom count","Bond count"
"NCC(=O)N[C@@H]1CCS(=O)(=O)C1","ZINC000011956769",24,24
"NCC(=O)N[C@H]1CCS(=O)(=O)C1","ZINC000011956777",24,24
"CNCc1nnnn1C","ZINC000052329856",18,18
"O=N(=O)Nn1cn[n+](NN(=O)=O)c1","ZINC000012360700",16,16
"C[N@@H+](CCO)CC(O)=O","ZINC000011862698",20,19
"Cn1c2n[nH]cc2c(=O)n(C)c1=O","ZINC000005386791",21,22
"Cn1c(CN)n[nH]c1=O","ZINC000125445741",17,17
"Cn1c(O)cc(=O)n(C)c1=O","ZINC000039951559",19,19
"Cn1c(O)c(C(N)=O)c(=O)n(C)c1=O","ZINC000014982354",23,23
"C[NH2+][C@@H](CN)C(O)=O","ZINC000078724301",18,17
"CN(N)c1cc(=O)nc(N)[nH]1","ZINC000017060231",20,20
"C[NH+](C)C[C@H](N)C(O)=O","ZINC000019366520",21,20
"C[NH2+][C@H](CN)C(O)=O","ZINC000078724303",18,17
"NC(=O)c1nc(N)nc2[nH]cnc12","ZINC000888092672",19,20
"Cn1cc(nn1)-c1nn[nH]n1","ZINC000888094350",16,17
"CNC(=O)[C@@H]1CNCCO1","ZINC000019686008",22,22
"NC[C@@H](C[NH3+])OS(O)(O)O","ZINC000036372536",20,19
"Cn1nc2CCNCCn2c1=O","ZINC000169676547",24,25
"Cn1nnnc1CN","ZINC000034155589",15,15
"COC(=O)C1(N)CNC1","ZINC000095627132",19,19
"NC(=O)c1nc(N)nc2CCNCc12","ZINC000049582275",25,26
"C(N1CC[NH2+]CC1)c1nn[nH]n1","ZINC000042191865",24,25
"OC1(CNC1)c1cn[nH]n1","ZINC000306208885",18,19
"CN(C)c1nc(N)nc(CN)n1","ZINC000054957011",24,24
"C1COC[C@H]([NH2+]1)c1nnn[nH]1","ZINC000095128410",20,21
"C1COC[C@H](N1)c1nn[nH]n1","ZINC000095128410",20,21
"C1COC[C@@H]([NH2+]1)c1nnn[nH]1","ZINC000095128407",20,21
"C1COC[C@@H](N1)c1nn[nH]n1","ZINC000095128407",20,21
"O=C1NC(=O)N2CCNC[C@H]12","ZINC000072311917",20,21
"O=C1NC(=O)N2CCNC[C@@H]12","ZINC000072311916",20,21
"C[NH+](C)C[C@@H](N)C(O)=O","ZINC000035024242",21,20
"COC(=O)[C@@H]1C[C@@H](CN1)c1nn[nH]n1","ZINC000095296944",25,26
"NC(=N)Nc1nc(N)nc(N)n1","ZINC000006523906",20,20
"N\[NH+]=C(/N)NN(=O)=O","ZINC000100069423",13,12
"N[C@H](CO)C(N)=O","ZINC000094437875",15,14
"N[C@@H](CO)C(N)=O","ZINC000094437874",15,14
"C[C@H]([NH3+])C(=O)N[C@@H](C)P(O)(O)=O","ZINC000036387834",25,24
"NC(=O)C1(N)CCS(=O)(=O)CC1","ZINC000049732578",24,24
"NC(=O)C(=O)N1CCNCC1","ZINC000008700976",22,22
"NC(=O)CCN1CCN(CC1)C=O","ZINC000038534986",28,28
"NC(=O)CN1CCC[C@@H](C1)C(N)=O","ZINC000048582873",28,28
"NC(=O)CN1CCC[C@H](C1)C(N)=O","ZINC000048582877",28,28
"NC(=O)C[C@@H]1COCCN1","ZINC000083146598",22,22
"NC(=O)Cc1nn[nH]n1","ZINC000005502357",14,14
"NC(=O)C[C@H]1COCCN1","ZINC000083146597",22,22
"NC(=O)Cc1nnc[nH]1","ZINC000035146883",15,15
"C[C@H](O)C(=O)N1CCNCC1","ZINC000036949582",25,25
"NC(=O)N1CCNCC1","ZINC000001556606",20,20
